x,y,date,driver_number,led_num
-120,2164,2023-08-27T12:59:01.674Z,40,46
-55,2332,2023-08-27T12:59:01.674Z,44,46
408,3530,2023-08-27T12:59:01.674Z,55,49
416,3548,2023-08-27T12:59:01.674Z,63,49
-40,2369,2023-08-27T12:59:01.674Z,77,46
399,3507,2023-08-27T12:59:01.674Z,81,49
407,3525,2023-08-27T12:59:01.874Z,1,49
309,3273,2023-08-27T12:59:01.874Z,2,48
306,3264,2023-08-27T12:59:01.874Z,4,48
305,3264,2023-08-27T12:59:01.874Z,10,48
430,3586,2023-08-27T12:59:01.874Z,11,49
313,3283,2023-08-27T12:59:01.874Z,14,48
-52,2338,2023-08-27T12:59:01.874Z,16,46
305,3264,2023-08-27T12:59:01.874Z,18,48
1032,4857,2023-08-27T12:59:01.874Z,20,52
-118,2167,2023-08-27T12:59:01.874Z,22,46
416,3549,2023-08-27T12:59:01.874Z,23,49
-4,2462,2023-08-27T12:59:01.874Z,24,46
-105,2201,2023-08-27T12:59:01.874Z,27,46
16,2518,2023-08-27T12:59:01.874Z,31,46
-120,2164,2023-08-27T12:59:01.874Z,40,46
-55,2332,2023-08-27T12:59:01.874Z,44,46
408,3530,2023-08-27T12:59:01.874Z,55,49
416,3548,2023-08-27T12:59:01.874Z,63,49
-40,2369,2023-08-27T12:59:01.874Z,77,46
399,3507,2023-08-27T12:59:01.874Z,81,49
407,3525,2023-08-27T12:59:01.974Z,1,49
309,3274,2023-08-27T12:59:01.974Z,2,48
306,3264,2023-08-27T12:59:01.974Z,4,48
305,3264,2023-08-27T12:59:01.974Z,10,48
430,3586,2023-08-27T12:59:01.974Z,11,49
313,3283,2023-08-27T12:59:01.974Z,14,48
-52,2338,2023-08-27T12:59:01.974Z,16,46
305,3264,2023-08-27T12:59:01.974Z,18,48
1032,4857,2023-08-27T12:59:01.974Z,20,52
-118,2167,2023-08-27T12:59:01.974Z,22,46
416,3550,2023-08-27T12:59:01.974Z,23,49
-4,2462,2023-08-27T12:59:01.974Z,24,46
-105,2201,2023-08-27T12:59:01.974Z,27,46
16,2518,2023-08-27T12:59:01.974Z,31,46
-120,2164,2023-08-27T12:59:01.974Z,40,46
-55,2332,2023-08-27T12:59:01.974Z,44,46
408,3530,2023-08-27T12:59:01.974Z,55,49
416,3548,2023-08-27T12:59:01.974Z,63,49
-40,2369,2023-08-27T12:59:01.974Z,77,46
399,3507,2023-08-27T12:59:01.974Z,81,49
407,3525,2023-08-27T12:59:02.294Z,1,49
309,3274,2023-08-27T12:59:02.294Z,2,48
306,3264,2023-08-27T12:59:02.294Z,4,48
305,3264,2023-08-27T12:59:02.294Z,10,48
430,3586,2023-08-27T12:59:02.294Z,11,49
313,3283,2023-08-27T12:59:02.294Z,14,48
-52,2338,2023-08-27T12:59:02.294Z,16,46
305,3264,2023-08-27T12:59:02.294Z,18,48
1032,4857,2023-08-27T12:59:02.294Z,20,52
-118,2167,2023-08-27T12:59:02.294Z,22,46
418,3554,2023-08-27T12:59:02.294Z,23,49
-4,2462,2023-08-27T12:59:02.294Z,24,46
-105,2201,2023-08-27T12:59:02.294Z,27,46
16,2518,2023-08-27T12:59:02.294Z,31,46
-120,2164,2023-08-27T12:59:02.294Z,40,46
-55,2332,2023-08-27T12:59:02.294Z,44,46
408,3530,2023-08-27T12:59:02.294Z,55,49
416,3548,2023-08-27T12:59:02.294Z,63,49
-40,2369,2023-08-27T12:59:02.294Z,77,46
399,3507,2023-08-27T12:59:02.294Z,81,49
407,3525,2023-08-27T12:59:02.674Z,1,49
309,3274,2023-08-27T12:59:02.674Z,2,48
306,3264,2023-08-27T12:59:02.674Z,4,48
305,3264,2023-08-27T12:59:02.674Z,10,48
430,3586,2023-08-27T12:59:02.674Z,11,49
313,3283,2023-08-27T12:59:02.674Z,14,48
